address,attempts,attempts_refunded,mint_received,refund_missing
7o872YogsYZgqpfQ1bNxhU5yxovbVnxkpuJrBcSXg8fz,1,0,1,0
rLMZFtXGd2kzKmLjnoZaciGsk8BXfKw1JQ2gcQhuucE,5,4,1,0
9TsVnkcLczQd68AGALK47kgz7nmWDeAcMJiBC4k6apsM,1,0,1,0
M1AKGJLb1xiPz4zn78HpKBPH9BpeM4M2ZeA5RysYkPV,2,1,1,0
32XWgtQjUT1F4q7isScS6zgNbgRCn4vuwMxo8nEdPFSh,2,1,1,0
APWgjwGcv4Y2S2Ji6teE4kvyQNm56RyH5KgEgJ5hRdqy,3,2,1,0
Gu52QCutkZiaCxPbcfTU6TXSTcLAnPZ6TtrVXwGiKcq4,1,0,1,0
BrqLnDHwGV4MKBbgL2WCfQ6NsecY1u4pXcbgNa4zfH8a,4,3,1,0
EQEPTh4pcMxfeQ11irdP2wfQu7HnN3uCHBcw3ysibAtR,1,0,1,0
9BYFGCBDowJh3i2KePzbyKy1ADh1G5W41gCqqn767H3V,1,0,1,0
E7qqzQHz5akNCLPvbBxdYjJ3U4CMbbpoFcCtZ4XtzGDr,3,2,1,0
85j9fBghrGYB8pWj1QMcYqH8DnbbChr4ypJf9cFz2Qy9,3,2,1,0
99sR2bPCXEra9xm3GNDsAHYjHvdnzosdG46tqhhtbosy,2,1,1,0
9f52rwscMtoxSUk5JfqLsAPAk3Z4quem23GYYZDcuPxJ,2,1,1,0
5e9WwMfxVnYMre2BgVunmfSiUtFH1zmWUxBKAwC6iQbq,4,3,1,0
ELjEpKHofRS2WwZZtUJ5fcW1xmiMdLBpVVEqFv3nyYrm,4,3,1,0
DDLYbHjjLM4DTWPqvhKtBjAujTX4jLq8UbM5UF3WipmK,1,0,1,0
BGCJcSm7fdkV1TBmW4ZdWYaB8ZZ2WsQ7aEmyxxTPqZp5,4,3,1,0
